"ImageID","area.mm2"
"845_GC1",2.7139507
"845_GC2",2.4556646
"847_GC1",2.0282163
"847_GC2",2.3643776
"849_GC1",3.1980749
"849_GC2",3.0120397
"851_GC1",2.3501005
"851_GC2",1.833961
"853_GC1",2.710057
"853_GC2",2.6079539
"855_GC1",2.4933043
"855_GC2",1.6349466
"857_GC1",2.5543066
"857_GC2",1.4359322
"859_GC1",2.6832333
"860_GC1",2.0498483
"860_GC2",2.946711
"862_GC1",2.189591
"862_GC2",1.4636211
"864_GC1",1.8205491
"864_GC2",1.8824166
"866_GC1",1.7669018
"866_GC2",2.1112832
"868_GC1",1.0681882
"868_GC2",2.115177
"870_GC1",2.2120883
"870_GC2",2.611415
"872_GC1",1.957696
"872_GC2",1.6206694
"874_GC1",2.104361
"874_GC2",1.9923072
"876_GC1",2.2925594
"876_GC2",2.3907686
"878_GC1",2.5244544
"878_GC2",1.9953357
"880_GC1",1.4489114
"880_GC2",2.591081
"901_GC1",1.9165952
"901_GC2",1.8404506
"903_GC1",2.1541146
"903_GC2",2.4915738
"905_GC1",2.7732224
"905_GC2",2.779712
"907_GC1",3.3460378
"907_GC2",2.4002867
"909_GC1",2.3016448
"909_GC2",2.0390323
"911_GC1",1.464919
"911_GC2",2.6572749
"913_GC1",1.0192998
"913_GC2",2.0636928
"915_GC1",1.7193114
"915_GC2",2.6304512
"917_GC1",2.5452211
"917_GC2",1.7214746
"919_GC1",1.9551002
"919_GC2",1.735319
"921_GC1",1.5215949
"921_GC2",2.3250074
"923_GC1",0.9180621
"923_GC2",1.9676467
"925_GC1",2.6741478
"925_GC2",2.1268582
"927_GC1",2.0589338
"927_GC2",2.6970778
"929_GC1",1.9256806
"930_GC1",2.6209331
"930_GC2",2.3998541
"932_GC1",2.7948544
"932_GC2",2.1818035
"934_GC1",2.3180851
"934_GC2",2.0450893
"936_GC1",1.8832819
"936_GC2",2.147625
"938_GC1",2.9917056
"939_GC1",2.7667328
"939_GC2",2.48768
"941_GC1",2.2596787
"941_GC2",2.4219187
"943_GC1",1.1966822
"944_GC1",3.2902272
"944_GC2",1.5873562
"946_GC1",2.3786547
"946_GC2",2.0961408
"948_GC1",1.5700506
"948_GC2",2.6096845
"950_GC1",2.2090598
"950_GC2",1.9897114
"952_GC1",2.0749414
"952_GC2",2.4772966
"954_GC1",2.5162342
"954_GC2",2.5002266
"956_GC1",1.8525645
"957_GC1",1.682537
"957_GC2",1.7617101
"959_GC1",2.4980634
"959_GC2",2.2847718
"961_GC1",2.0485504
"962_GC1",1.7227725
"962_GC2",2.1735834
"964_GC1",2.3751936
"964_GC2",0.8942669
"966_GC1",1.5882214
"966_GC2",1.6042291
"968_GC1",2.5798323
"969_GC1",2.2826086
"970_GC1",2.1774771
"970_GC2",2.0429261
"972_GC1",2.3293338
"972_GC2",2.3959603
"974_GC1",2.1675264
"974_GC2",2.2488627
"976_GC1",1.7158502
"976_GC2",2.7589453
"978_GC1",2.5785344
"978_GC2",2.4560973
"601_GC1",2.5119078
"602_GC1",2.4682112
"603_GC1",2.742505
"603_GC2",2.5629594
